ts,equity
2026-01-08T07:20:00+00:00,7999999.42
2026-01-08T07:25:00+00:00,7999999.42
2026-01-08T07:30:00+00:00,7999999.42
2026-01-08T07:35:00+00:00,7999999.42
2026-01-08T07:40:00+00:00,7999999.42
2026-01-08T07:45:00+00:00,7999999.42
2026-01-08T07:50:00+00:00,7999999.42
2026-01-08T07:55:00+00:00,7999999.42
2026-01-08T08:00:00+00:00,7999999.42
2026-01-08T08:05:00+00:00,7999999.42
2026-01-08T08:10:00+00:00,7999999.42
2026-01-08T08:15:00+00:00,7999999.42
2026-01-08T08:20:00+00:00,7999999.42
2026-01-08T08:25:00+00:00,7999999.42
2026-01-08T08:30:00+00:00,7999999.42
2026-01-08T08:35:00+00:00,7999999.42
2026-01-08T08:40:00+00:00,7999999.42
2026-01-08T08:45:00+00:00,7999999.50
2026-01-08T08:50:00+00:00,7999999.71
2026-01-08T08:55:00+00:00,7999999.90
2026-01-08T09:00:00+00:00,7999999.90
2026-01-08T09:05:00+00:00,7999999.90
2026-01-08T09:10:00+00:00,7999999.90
2026-01-08T09:15:00+00:00,7999999.90
2026-01-08T09:20:00+00:00,7999999.90
2026-01-08T09:25:00+00:00,7999999.90
2026-01-08T09:30:00+00:00,7999999.90
2026-01-08T09:35:00+00:00,7999999.90
2026-01-08T09:40:00+00:00,7999999.90
2026-01-08T09:45:00+00:00,7999999.90
2026-01-08T09:50:00+00:00,7999999.90
2026-01-08T09:55:00+00:00,7999999.90
2026-01-08T10:00:00+00:00,7999999.90
2026-01-08T10:05:00+00:00,7999999.90
2026-01-08T10:10:00+00:00,7999999.90
2026-01-08T10:15:00+00:00,7999999.90
2026-01-08T10:20:00+00:00,7999999.90
2026-01-08T10:25:00+00:00,7999999.90
2026-01-08T10:30:00+00:00,7999999.90
2026-01-08T10:35:00+00:00,7999999.90
2026-01-08T10:40:00+00:00,7999999.90
2026-01-08T10:45:00+00:00,7999999.90
2026-01-08T10:50:00+00:00,7999999.90
2026-01-08T10:55:00+00:00,7999999.90
2026-01-08T11:05:00+00:00,7999999.90
2026-01-08T11:10:00+00:00,7999999.90
2026-01-08T11:15:00+00:00,7999999.90
2026-01-08T11:20:00+00:00,7999999.90
2026-01-08T11:25:00+00:00,7999999.90
2026-01-08T11:30:00+00:00,7999999.90
2026-01-08T11:35:00+00:00,7999999.90
2026-01-08T11:40:00+00:00,7999999.90
2026-01-08T11:45:00+00:00,7999999.90
2026-01-08T11:50:00+00:00,7999999.90
2026-01-08T11:55:00+00:00,7999999.90
2026-01-08T12:00:00+00:00,7999999.90
2026-01-08T12:05:00+00:00,8000000.04
2026-01-08T12:10:00+00:00,7999999.54
2026-01-08T12:15:00+00:00,7999999.60
2026-01-08T12:20:00+00:00,7999999.58
2026-01-08T12:25:00+00:00,7999999.78
2026-01-08T12:30:00+00:00,7999999.76
2026-01-08T12:35:00+00:00,7999999.88
2026-01-08T12:40:00+00:00,8000000.08
2026-01-08T12:45:00+00:00,8000000.08
2026-01-08T12:50:00+00:00,8000000.08
2026-01-08T12:55:00+00:00,8000000.08
2026-01-08T13:00:00+00:00,8000000.08
2026-01-08T13:05:00+00:00,8000000.08
2026-01-08T13:10:00+00:00,8000000.08
2026-01-08T13:15:00+00:00,8000000.08
2026-01-08T13:20:00+00:00,8000000.08
2026-01-08T13:25:00+00:00,8000000.08
2026-01-08T13:30:00+00:00,8000000.08
2026-01-08T13:35:00+00:00,8000000.08
2026-01-08T13:40:00+00:00,8000000.08
2026-01-08T13:45:00+00:00,8000000.08
2026-01-08T13:50:00+00:00,8000000.08
2026-01-08T13:55:00+00:00,8000000.08
2026-01-08T14:00:00+00:00,7999999.93
2026-01-08T14:05:00+00:00,8000000.01
2026-01-08T14:10:00+00:00,8000000.05
2026-01-08T14:15:00+00:00,8000000.24
2026-01-08T14:20:00+00:00,8000000.25
2026-01-08T14:25:00+00:00,8000000.13
2026-01-08T14:30:00+00:00,8000000.13
2026-01-08T14:35:00+00:00,8000000.13
2026-01-08T14:40:00+00:00,8000000.13
2026-01-08T14:45:00+00:00,8000000.13
2026-01-08T14:50:00+00:00,8000000.13
2026-01-08T14:55:00+00:00,8000000.13
2026-01-08T15:00:00+00:00,8000000.13
2026-01-08T15:05:00+00:00,8000000.13
2026-01-08T15:10:00+00:00,8000000.13
2026-01-08T15:15:00+00:00,8000000.13
2026-01-08T15:20:00+00:00,8000000.13
2026-01-08T15:25:00+00:00,8000000.13
2026-01-08T15:30:00+00:00,8000000.13
2026-01-08T15:35:00+00:00,8000000.13
2026-01-08T15:40:00+00:00,8000000.13
2026-01-08T15:45:00+00:00,8000000.13
2026-01-08T16:05:00+00:00,8000000.13
2026-01-08T16:10:00+00:00,8000000.13
